%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1481826241446057204,3213,1481826241443007065,,4.50897216797,-24.1666355133,76.0329284668,0.00112499995157,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.853658556938,5.67073154449,-0.731707334518,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.23540805664,-2.55221896973,8.97346782227,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241487145002,3214,1481826241485327512,,4.80041885376,-24.2982749939,76.0009460449,0.00113999994937,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.35365867615,0.548780500889,-4.20731735229,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.75734401855,-3.0406361084,14.9972791992,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241530113623,3215,1481826241526981140,,4.83515882492,-24.6018066406,76.0082473755,0.00100699998438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.18292683363,2.80487799644,-3.65853667259,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.30322199707,-1.49398183594,12.6988456055,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241570978245,3216,1481826241569189869,,4.58599281311,-24.7166175842,76.1196136475,0.000973000016529,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.32926845551,4.69512224197,2.74390244484,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.119710083008,-4.79319201589,11.3341506592,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241612964058,3217,1481826241610879747,,4.32335090637,-24.5861568451,76.2657470703,0.000982000026852,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.19512224197,1.2195122242,-2.07317066193,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.134075302102,-5.32470449219,11.4394955322,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241654451229,3218,1481826241652783530,,4.28059482574,-24.4971561432,76.3629760742,0.00103899999522,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.975609779358,-4.14634132385,1.09756100178,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.588973571866,-3.02627089844,14.9446067627,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241697974378,3219,1481826241695152779,,4.02707338333,-24.552022934,76.3862609863,0.00121400004718,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-7.92682981491,-9.81707286835,-2.31707310677,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.59919606934,-8.29830236958,6.94797321777,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241738569574,3220,1481826241737026301,,3.68177103996,-24.6265258789,76.3000564575,0.00114800001029,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-16.8902435303,-4.51219558716,-9.20731735229,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.75333190918,-13.9198884521,13.2159931641,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241781092677,3221,1481826241779636695,,3.44555902481,-24.8858070374,76.1648178101,0.00103699997999,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-14.2073173523,-10.548781395,-10.6097564697,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.97282216797,-1.08696755371,-3.76368500977,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241823805518,3222,1481826241822055110,,2.96460199356,-25.2672786713,76.0922012329,0.00110100000165,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-17.0731716156,-17.5000019073,-6.52439069748,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.57616098633,-3.71580097656,7.71890615234,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241866052997,3223,1481826241864615661,,2.17921733856,-25.9429740906,76.1739959717,0.00121799996123,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-11.9512195587,-17.2560977936,-9.45121955872,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.18907661133,-1.68551796875,10.1849338623,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241908970576,3224,1481826241907158815,,1.31501483917,-26.6806983948,76.4626235962,0.00130899995565,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-12.3780488968,-20.8536586761,2.80487799644,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.186747729492,0.555454785156,7.39808312988,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241951323992,3225,1481826241949662386,,0.664782702923,-27.2172336578,76.7634887695,0.00121100002434,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-5.97560977936,-6.89024400711,-0.12195122242,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.30632717285,-1.53707746582,-8.2264769043,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826241995027088,3226,1481826241992300540,,0.369502991438,-27.7194919586,76.9528884888,0.00104799994733,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.65853667259,0.792682945728,3.17073178291,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.05978972168,-11.9183358643,16.2231104492,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826242036663112,3227,1481826242034777705,,0.535720050335,-27.8417758942,76.949180603,0.00116400001571,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.90243911743,7.01219511032,3.17073178291,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.45088620605,-2.12126281703,-4.08450803223,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826242079010330,3228,1481826242077248204,,0.866528749466,-27.6968345642,76.8719100952,0.00109100004192,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.7926826477,17.134147644,6.40243911743,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-4.6208092041,-2.83952316895,-2.08295529821,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826242124268626,3229,1481826242119571151,,1.78061640263,-27.2865161896,76.7482528687,0.00101000000723,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.4268293381,23.475610733,11.9512195587,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.37025978969,-0.067037651051,10.9893856201,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826242163842681,3230,1481826242161547902,,2.84069013596,-27.2442016602,76.5474014282,0.00103899999522,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.45121955872,15.7317075729,6.21951246262,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.18428820801,-3.73974299316,4.83149924246,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826242205574642,3231,1481826242203330332,,3.82927751541,-27.1102924347,76.4372940063,0.00121000001673,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.64634132385,18.5975627899,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.3470939209,0.861912597656,4.60644399414,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826242248039776,3232,1481826242246292338,,4.55909156799,-27.1870384216,76.4279556274,0.00127200002316,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.71951246262,7.98780536652,10.6707315445,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.39821376953,-0.378283862305,4.02225878906,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826242290271787,3233,1481826242288058882,,5.02286100388,-26.7563228607,76.6116943359,0.00120699999388,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.70731711388,0.609756112099,5.12195110321,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-4.02225878906,-3.72058937988,8.2025348877,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826242332766608,3234,1481826242330486047,,5.01236104965,-26.3647518158,76.9559631348,0.0011569999624,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.731707334518,-4.93902444839,7.37804937363,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.957680664062,-8.68137521973,12.124237207,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826242374824296,3235,1481826242372925452,,4.6609005928,-25.9759540558,77.2406997681,0.00101200002246,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.74390244484,-3.59756112099,4.45121955872,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.00556469727,-7.72848295898,7.83861623535,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826242416995734,3236,1481826242415254806,,4.36596918106,-26.149477005,77.3704376221,0.00112599995919,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-4.69512224197,-2.68292689323,-2.19512200356,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.77727392578,0.205901342773,9.80665,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481826242459426597,3237,1481826242457319057,,4.07614707947,-26.4682559967,77.37525177,0.00105199997779,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2804877758,-3.71951246262,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.0166940918,-5.64552751465,4.87459458008,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
